NumberOfCubes,MinSurface,MaxSurface
1,6,6
2,10,10
3,14,14
4,16,18
5,22,22
6,22,26
7,30,30
8,24,34
9,30,38
10,34,42
11,46,46
12,32,50
13,54,54
14,46,58
15,46,62
16,40,66
17,70,70
18,42,74
19,78,78
20,48,82
21,62,86
22,70,90
23,94,94
24,52,98
25,70,102
26,82,106
27,54,110
28,64,114
29,118,118
30,62,122
31,126,126
32,64,130
33,94,134 
35,94,142
36,66,146
37,150,150
38,118,154
39,110,158
40,76,162
41,166,166
42,82,170
43,174,174
44,96,178
45,78,182
46,142,186
47,190,190
48,80,194
49,126,198
50,90,202
51,142,206
52,112,210
53,214,214
54,90,218
55,142,222
56,100,226
57,158,230
58,178,234
59,238,238
60,94,242
61,246,246
62,190,250
63,102,254
64,96,258
65,166,262
66,122,266
67,270,270
68,144,274
69,190,278
70,118,282
71,286,286
72,108,290
73,294,294
74,226,298
75,110,302
76,160,306
77,190,310
78,142,314
79,318,318
80,112,322
81,126,326
82,250,330
83,334,334
84,122,338
85,214,342
86,262,346
87,238,350
88,148,354
89,358,358
90,126,362
91,222,366
92,192,370
93,254,374
94,286,378
95,238,382
96,128,386
97,390,390
98,154,394
99,150,398
100,130,402
101,406,406
102,182,410
103,414,414
104,172,418
105,142,422
106,322,426
107,430,430
108,144,434
109,438,438
110,174,442
111,302,446
112,144,450
113,454,454
114,202,458
115,286,462
116,240,466
117,174,470
118,358,474
119,286,478
120,148,482
121,286,486
122,370,490
123,334,494
124,256,498
125,150,502
126,162,506
127,510,510
128,160,514
129,350,518
130,202,522
131,526,526
132,178,530
133,318,534
134,406,538
135,174,542
136,220,546
137,550,550
138,242,554
139,558,558
140,166,562
141,382,566
142,430,570
143,334,574
144,168,578
145,358,582
146,442,586
147,182,590
148,304,594
149,598,598
150,170,602
151,606,606
152,244,610
153,222,614
154,226,618
155,382,622
156,206,626
157,630,630
158,478,634
159,430,638
160,184,642
161,382,646
162,198,650
163,654,654
164,336,658
165,206,662
166,502,666
167,670,670
168,188,674
169,390,678
170,258,682
171,246,686
172,352,690
173,694,694
174,302,698
175,190,702
176,208,706
177,478,710
178,538,714
179,718,718
180,192,722
181,726,726
182,262,730
183,494,734
184,292,738
185,454,742
186,322,746
187,430,750
188,384,754
189,222,758
190,286,762
191,766,766
192,208,770
193,774,774
194,586,778
195,238,782
196,210,786
197,790,790
198,234,794
199,798,798
200,210,802
201,542,806
202,610,810
203,478,814
204,262,818
205,502,822
206,622,826
207,294,830
208,240,834
209,478,838
210,214,842
211,846,846
212,432,850
213,574,854
214,646,858
215,526,862
216,216,866
217,510,870
218,658,874
219,590,878
220,238,882
221,502,886
222,382,890
223,894,894
224,232,898
225,230,902
226,682,906
227,910,910
228,290,914
229,918,918
230,342,922
231,262,926
232,364,930
233,934,934
234,270,938
235,574,942
236,480,946
237,638,950
238,334,954
239,958,958
240,236,962
241,966,966
242,330,970
243,270,974
244,496,978
245,238,982
246,422,986
247,558,990
248,388,994
249,670,998
250,250,1002
251,1006,1006
252,240,1010
253,574,1014
254,766,1018
255,302,1022
256,256,1026
257,1030,1030
258,442,1034
259,606,1038
260,274,1042
261,366,1046
262,790,1050
263,1054,1054
264,268,1058
265,646,1062
266,370,1066
267,718,1070
268,544,1074
269,1078,1078
270,258,1082
271,1086,1086
272,304,1090
273,302,1094
274,826,1098
275,270,1102
276,346,1106
277,1110,1110
278,838,1114
279,390,1118
280,262,1122
281,1126,1126
282,482,1130
283,1134,1134
284,576,1138
285,334,1142
286,382,1146
287,670,1150
288,264,1154
289,646,1158
290,426,1162
291,782,1166
292,592,1170
293,1174,1174
294,266,1178
295,718,1182
296,460,1186
297,318,1190
298,898,1194
299,670,1198
300,280,1202
301,702,1206
302,910,1210
303,814,1214
304,336,1218
